#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
68,Moto Racer Collection,10/2/2014,$0.99,N/A (N/A),"7,374 ±2,549",00:04 (00:04)
69,Pro Cycling Manager 2012,6/22/2012,$3.39,N/A (N/A),"19,588 ±4,155",49:18 (11:35)
70,Steel Storm: A.M.M.O.,9/25/2013,$9.99,N/A (N/A),"2,829 ±2,477",00:01 (00:01)
71,Ihf Handball Challenge 12,3/21/2014,$2.09,N/A (N/A),"10,140 ±2,989",02:38 (03:03)
72,SPORT1 Live : Duel,5/30/2014,$2.49,N/A (N/A),668 ±924,03:30 (03:30)
73,GTR - FIA GT Racing Game,9/25/2012,$6.99,N/A (N/A),"50,238 ±6,653",01:34 (00:29)
74,Front Office Football Seven,2/4/2015,$17.49,N/A (N/A),"3,226 ±1,686",20:56 (16:48)
75,GTR 2 - FIA GT Racing Game,12/12/2012,$7.99,N/A (N/A),"70,518 ±7,882",02:22 (00:01)
76,Club Manager 2015,12/4/2014,$20.09,N/A (N/A),"2,074 ±1,352",17:54 (16:13)
77,R.B.I. Baseball 15,4/30/2015,$19.99,N/A (N/A),"2,535 ±1,494",09:09 (08:18)
79,Dog Sled Saga,12/8/2014,$7.99,N/A (N/A),"2,765 ±1,561",27:57 (42:51)
80,DanceWall Remix,8/27/2014,$4.49,N/A (N/A),"5,070 ±2,113",01:54 (01:48)
81,Total Extreme Wrestling,3/19/2015,$4.99,N/A (N/A),"2,004 ±1,600",02:02 (02:27)
83,Rugby Union Team Manager 2015,12/3/2014,$39.99,N/A (N/A),"4,379 ±1,964",11:22 (10:50)
84,Virtual Pool 4,5/11/2015,$24.99,N/A (N/A),"1,670 ±1,461",12:44 (10:09)
85,MXGP - The Official Motocross Videogame,3/28/2014,$19.99,N/A (N/A),"20,049 ±4,203",30:51 (11:14)
86,Martial Arts: Capoeira,6/12/2014,$1.49,N/A (N/A),"4,148 ±1,912",00:08 (00:05)
