#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
59,Face of Mankind,7/17/2014,$7.49,39% (N/A),"328,160 ±16,995",02:18 (00:27)
14,iRacing,1/12/2015,$2.49,N/A (79%),"8,988 ±2,814",14:23 (04:34)
24,Cloud Chamber,8/7/2014,$4.79,N/A (74%),"20,510 ±4,251",02:57 (01:53)
25,Age of Wushu,3/27/2014,Free,N/A (74%),"51,390 ±6,729",08:47 (00:01)
41,The Castle Doctrine,1/29/2014,$15.99,N/A (58%),"15,671 ±3,716",04:59 (00:49)
45,Voice Of Pripyat,11/19/2014,$6.99,N/A (N/A),"7,374 ±2,549",28:48 (03:25)
48,Entropy,12/9/2013,$19.99,N/A (N/A),"20,049 ±4,203",03:41 (01:46)
49,UFO Online,10/10/2014,Free,N/A (N/A),"1,131 ±1,566",00:10 (00:13)
52,Selfie: Sisters of the Amniotic Lens,5/8/2015,$3.74,N/A (N/A),"1,002 ±1,131",00:09 (00:08)
55,Fairspace,10/10/2014,$8.99,N/A (N/A),"566 ±1,107",13:08 (13:08)
56,EverQuest Free-to-Play,12/13/2012,Free,N/A (N/A),"212,705 ±13,686",26:52 (01:51)
57,Ancients of Fasaria: Celestias Angelica MMORPG,2/27/2015,$12.49,N/A (N/A),"566 ±1,107",00:00 (00:00)
60,War of the Immortals,8/30/2012,Free,N/A (N/A),"245,889 ±14,714",44:57 (01:03)
63,Requiem,3/4/2015,Free,N/A (N/A),"141,957 ±11,182",01:30 (00:23)
64,Ascent - The Space Game,2/27/2015,$15.99,N/A (N/A),"4,379 ±1,964",35:11 (28:50)
66,LEGO Minifigures Online,10/29/2014,$24.99,N/A (N/A),668 ±924,01:25 (01:25)
67,Deepworld,4/22/2015,Free,N/A (N/A),"107,389 ±9,727",01:18 (00:26)
69,Fiesta Online NA,5/20/2014,Free,N/A (N/A),"194,730 ±13,096",06:26 (01:04)
70,16 Bit Arena,3/24/2015,Free,N/A (N/A),"43,785 ±6,211",00:01 (00:01)
73,ShellShock Live,3/11/2015,$5.24,N/A (N/A),"3,226 ±1,686",22:34 (05:37)
74,Atlantica,6/29/2012,Free,N/A (N/A),"128,591 ±10,643",36:09 (04:53)
77,Epic Space: Online,5/8/2014,$24.99,N/A (N/A),"1,383 ±1,103",01:36 (01:50)
78,Dark Forester,2/9/2015,$3.49,N/A (N/A),"1,697 ±1,918",04:37 (04:37)
80,Cannons Lasers Rockets,8/25/2014,Free,N/A (N/A),"154,401 ±11,662",00:21 (00:08)
82,Asteroids: Outpost,3/26/2015,$29.99,N/A (N/A),"2,535 ±1,494",01:06 (01:33)
83,Blitzkrieg 3,5/6/2015,$26.99,N/A (N/A),"5,761 ±2,253",13:33 (09:08)
89,Gates of Horizon,12/18/2014,$5.99,N/A (N/A),"2,765 ±1,561",70:46 (118:17)
90,"Once Bitten, Twice Dead!",5/12/2015,$4.99,N/A (N/A),"4,379 ±1,964",04:10 (02:05)
93,Forsaken Uprising,12/3/2014,$0.59,N/A (N/A),"18,666 ±4,056",02:18 (01:18)
94,TDP5 Arena 3D,3/26/2015,Free,N/A (N/A),"79,505 ±8,369",00:42 (00:16)
95,Wrath of Athena,5/29/2015,Free,N/A (N/A),"12,905 ±3,372",00:32 (00:09)
96,NEStalgia,4/15/2014,$4.49,N/A (N/A),"23,045 ±4,506",25:38 (04:13)
97,Xsyon - Prelude,12/29/2014,$22.49,N/A (N/A),"2,004 ±1,600",18:25 (24:55)
98,Angels of Fasaria RPG + MMORPG,12/9/2014,$9.99,N/A (N/A),"3,226 ±1,686",03:09 (05:14)
99,ROSE Online,10/23/2012,Free,N/A (N/A),"243,124 ±14,631",19:03 (00:50)
101,Uncharted Waters Online: Gran Atlas,10/3/2014,Free,N/A (N/A),"162,236 ±11,954",09:19 (00:27)
106,Karos,12/24/2014,Free,N/A (N/A),"230,680 ±14,252",02:15 (00:01)
107,Dungeon Party,3/13/2013,Free,N/A (N/A),"174,220 ±12,387",00:24 (00:13)
