#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
508,From The Depths,8/7/2014,$7.99,89% (N/A),"32,954 ±5,389",16:18 (03:46)
678,Lili: Child of Geos,5/9/2014,$1.99,89% (N/A),"44,477 ±6,260",02:07 (01:13)
849,Full Mojo Rampage,5/8/2014,$6.49,89% (N/A),"261,330 ±15,169",03:20 (01:21)
858,Creativerse,8/12/2014,$13.99,89% (N/A),"41,250 ±6,029",12:29 (05:18)
924,Magical Diary,5/31/2012,$7.49,89% (N/A),"75,126 ±8,136",06:59 (04:00)
10,DARK SOULS™ II,4/25/2014,$39.99,88% (91%),"1,007,755 ±29,741",79:22 (46:01)
37,Dark Souls: Prepare to Die Edition,8/23/2012,$6.79,88% (85%),"1,947,528 ±41,264",41:38 (06:59)
70,Kingdoms of Amalur: Reckoning™,2/7/2012,$9.99,88% (81%),"704,023 ±24,874",24:11 (08:31)
146,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,9/27/2012,$2.49,88% (75%),"400,751 ±18,779",02:15 (00:48)
345,Fahrenheit: Indigo Prophecy Remastered,1/28/2015,$4.99,88% (N/A),"43,324 ±6,179",04:52 (02:12)
371,Dead Pixels,12/7/2012,$1.01,88% (N/A),"190,582 ±12,955",02:08 (00:53)
24,EVE Online,12/15/2010,$9.99,87% (88%),"317,790 ±16,725",138:40 (22:18)
45,Valdis Story: Abyssal City,10/30/2013,$7.49,87% (83%),"139,422 ±11,082",07:34 (02:16)
93,Overlord II,6/24/2009,$2.49,87% (79%),"811,643 ±26,702",10:07 (04:11)
96,Sang-Froid - Tales of Werewolves,4/5/2013,$2.99,87% (79%),"242,202 ±14,603",03:17 (01:12)
125,Risen,10/2/2009,$4.99,87% (77%),"627,053 ±23,479",12:49 (02:35)
126,Titan Quest,7/17/2007,$7.49,87% (77%),"1,449,527 ±35,636",05:51 (00:35)
140,Fight The Dragon,12/4/2014,$8.99,87% (76%),"65,678 ±7,607",07:43 (02:26)
216,Sword of the Stars: The Pit,,$2.59,87% (68%),"214,779 ±13,753",08:15 (02:22)
280,Windward,5/12/2015,$12.74,87% (57%),"59,917 ±7,266",12:11 (07:48)
305,Dragon Nest,12/18/2012,Free,87% (N/A),"316,177 ±16,683",25:44 (02:43)
886,Breach & Clear,3/21/2014,$4.49,87% (N/A),"137,578 ±11,009",05:58 (01:57)
14,Fallout 3 - Game of the Year Edition,12/17/2009,$11.99,86% (91%),"1,536,406 ±36,682",18:32 (03:59)
32,The Witcher: Enhanced Edition,9/19/2008,$1.49,86% (86%),"2,098,242 ±42,817",15:06 (03:10)
54,Endless Legend,9/18/2014,$23.44,86% (82%),"436,932 ±19,607",21:54 (09:37)
85,Dead Island,,$9.99,86% (80%),"2,903,662 ±50,284",18:45 (07:46)
110,Baldur's Gate II: Enhanced Edition,11/15/2013,$9.99,86% (78%),"251,881 ±14,892",34:50 (04:24)
143,S.T.A.L.K.E.R.: Clear Sky,9/15/2008,$4.99,86% (75%),"456,520 ±20,040",16:32 (04:12)
163,The Secret World,8/8/2012,$14.99,86% (74%),"272,852 ±15,499",52:17 (13:44)
208,Sequence,10/20/2011,$1.24,86% (70%),"176,294 ±12,461",04:18 (01:39)
223,Mount & Blade: With Fire and Sword,5/3/2011,$1.99,86% (68%),"1,006,142 ±29,717",24:48 (06:29)
232,A Bird Story,11/7/2014,$1.99,86% (66%),"92,871 ±9,045",01:18 (01:13)
265,Dead Island Riptide,4/22/2013,$9.99,86% (61%),"1,133,350 ±31,532",14:43 (05:57)
334,Knights of Pen and Paper +1,6/18/2013,$2.49,86% (N/A),"347,287 ±17,483",06:50 (02:52)
390,Mountain,8/18/2014,$0.99,86% (N/A),"173,067 ±12,346",07:52 (00:50)
489,Ys II,2/14/2013,$7.49,86% (N/A),"148,179 ±11,425",04:13 (01:17)
591,Divinity II: Developer's Cut,10/29/2012,$4.99,86% (N/A),"552,387 ±22,040",09:04 (01:24)
631,Breath of Death VII,7/13/2011,$0.44,86% (N/A),"493,162 ±20,828",01:40 (00:33)
787,Ys I,2/14/2013,$7.49,86% (N/A),"148,179 ±11,425",04:04 (02:05)
841,Heroine's Quest: The Herald of Ragnarok,3/20/2014,Free,86% (N/A),"166,615 ±12,114",02:54 (00:18)
75,Wasteland 2,9/18/2014,$19.99,85% (81%),"430,019 ±19,451",34:47 (14:15)
117,Expeditions: Conquistador,5/30/2013,$9.99,85% (77%),"115,455 ±10,085",09:51 (02:23)
192,DC Universe Online,11/2/2011,Free,85% (72%),"1,989,239 ±41,700",25:36 (05:46)
249,Spiral Knights,6/14/2011,Free,85% (64%),"1,642,643 ±37,921",32:20 (01:47)
376,Rust,12/11/2013,$19.99,85% (N/A),"2,611,683 ±47,718",65:47 (20:54)
729,Robocraft,7/8/2014,Free,85% (N/A),"6,931,687 ±77,031",17:20 (02:18)
754,Elsword,7/2/2014,Free,85% (N/A),"612,534 ±23,206",23:33 (01:41)
9,Fallout 3,10/28/2008,$4.99,84% (91%),"421,953 ±19,268",20:31 (04:53)
64,Sunless Sea,2/6/2015,$11.39,84% (81%),"131,356 ±10,757",13:22 (04:19)
214,FINAL FANTASY III,5/27/2014,$11.19,84% (68%),"100,476 ±9,408",12:33 (04:24)
266,Evoland,4/4/2013,$4.99,84% (61%),"337,378 ±17,232",03:13 (02:18)
269,How to Survive,8/29/2014,$0.74,84% (60%),"763,940 ±25,908",06:19 (02:45)
408,The Red Solstice,7/10/2014,$17.99,84% (N/A),"43,555 ±6,195",07:54 (01:45)
680,DARK SOULS™ II: Scholar of the First Sin,4/1/2015,$24.99,84% (N/A),"210,631 ±13,619",35:51 (20:52)
817,Kenshi,,$19.99,84% (N/A),"111,307 ±9,902",17:29 (05:09)
165,Sacred Gold,7/9/2008,$1.49,83% (74%),"124,673 ±10,480",09:18 (01:18)
234,The Last Remnant,4/9/2009,$4.99,83% (66%),"632,353 ±23,578",26:30 (02:52)
687,Dungeon Defenders II,12/5/2014,$18.74,83% (N/A),"169,841 ±12,231",16:25 (05:36)
808,Aura Kingdom,7/1/2014,Free,83% (N/A),"1,261,941 ±33,264",11:58 (01:12)
832,7 Days to Die,12/13/2013,$9.99,83% (N/A),"1,088,412 ±30,903",41:30 (09:11)
34,The Lord of the Rings Online™,6/6/2012,Free,82% (86%),"1,178,979 ±32,157",30:05 (01:59)
42,RIFT,3/1/2011,Free,82% (84%),"1,780,682 ±39,471",54:21 (04:35)
95,Gothic II: Gold Edition,,$4.99,82% (79%),"216,622 ±13,811",10:02 (00:27)
124,TERA,5/5/2015,Free,82% (77%),"1,428,786 ±35,382",14:58 (03:30)
166,Neverwinter,12/5/2013,Free,82% (74%),"2,870,477 ±49,999",25:10 (05:23)
182,Alpha Protocol,6/1/2010,$7.49,82% (72%),"429,558 ±19,441",09:13 (02:27)
273,MURDERED: SOUL SUSPECT™,6/3/2014,$5.99,82% (59%),"410,661 ±19,009",04:54 (02:42)
329,Hero Siege,1/29/2014,$1.49,82% (N/A),"314,102 ±16,628",08:19 (03:08)
452,E.Y.E: Divine Cybermancy,7/29/2011,$3.99,82% (N/A),"579,580 ±22,575",05:49 (01:48)
482,Solstice Arena,10/15/2013,Free,82% (N/A),"182,285 ±12,670",10:12 (02:10)
488,Dysfunctional Systems: Learning to Manage Chaos,9/26/2013,$2.49,82% (N/A),"51,851 ±6,759",01:40 (01:05)
496,Mordheim: City of the Damned,11/20/2014,$25.59,82% (N/A),"50,238 ±6,653",07:47 (01:39)
540,Memories of a Vagabond,7/7/2014,$1.49,82% (N/A),"189,199 ±12,908",01:59 (01:17)
552,Exanima,4/29/2015,$14.99,82% (N/A),"13,827 ±3,491",05:10 (01:24)
872,Rising World,12/3/2014,$12.74,82% (N/A),"41,250 ±6,029",07:21 (02:25)
72,Marvel Heroes 2015,6/3/2013,Free,81% (81%),"2,631,962 ±47,901",34:42 (01:35)
74,Gothic,3/15/2001,$9.99,81% (81%),"170,302 ±12,247",04:58 (00:14)
84,Age of Wonders III,3/31/2014,$19.99,81% (80%),"356,505 ±17,713",34:47 (10:40)
92,Ragnarok,10/31/2013,Free,81% (79%),"284,144 ±15,816",14:48 (00:21)
142,WAKFU,9/18/2014,Free,81% (76%),"683,974 ±24,518",17:38 (01:43)
218,Crimsonland,6/11/2014,$4.89,81% (68%),"35,950 ±5,628",11:52 (06:09)
912,Destination Sol,2/5/2015,Free,81% (N/A),"227,914 ±14,167",00:46 (00:14)
58,Realm of the Mad God,2/20/2012,Free,80% (82%),"1,796,814 ±39,648",19:41 (01:33)
80,Elite: Dangerous,4/2/2015,$53.99,80% (80%),"153,479 ±11,627",46:03 (17:58)
150,Borderlands: The Pre-Sequel,10/13/2014,$19.79,80% (75%),"838,144 ±27,133",37:52 (22:05)
235,The Yawhg,2/27/2014,$4.99,80% (66%),"58,765 ±7,196",01:40 (01:07)
141,Star Trek Online,1/31/2012,Free,79% (76%),"998,307 ±29,602",80:15 (07:23)
187,Champions Online: Free For All,6/14/2011,Free,79% (72%),"429,558 ±19,441",45:56 (04:39)
198,Enclave,10/4/2013,$4.99,79% (71%),"859,346 ±27,473",01:42 (00:52)
236,The Lord of the Rings: War in the North,11/1/2011,$9.99,79% (66%),"1,339,141 ±34,261",09:50 (03:22)
248,Defiance,6/4/2014,Free,79% (64%),"2,307,950 ±44,886",19:08 (03:08)
253,Gothic 3,12/2/2009,$4.99,79% (63%),"251,420 ±14,878",14:23 (01:25)
295,Dragons and Titans,3/12/2014,Free,79% (43%),"628,666 ±23,509",07:52 (00:40)
365,Mabinogi,12/6/2012,Free,79% (N/A),"283,453 ±15,797",82:47 (01:17)
404,C9,9/13/2012,Free,79% (N/A),"350,744 ±17,570",08:10 (00:20)
500,Planet Explorers,3/11/2014,$18.74,79% (N/A),"239,206 ±14,513",10:34 (03:03)
674,Divinity: Dragon Commander,8/6/2013,$9.99,79% (N/A),"172,837 ±12,338",08:13 (04:33)
33,Dungeon Siege,4/5/2011,$1.74,78% (86%),"317,790 ±16,725",05:01 (00:31)
134,Mercenary Kings,3/25/2014,$8.99,78% (76%),"145,414 ±11,318",08:01 (03:01)
230,The Banner Saga: Factions,2/25/2013,Free,78% (67%),"268,474 ±15,374",04:40 (00:46)
353,Monster Loves You!,3/18/2013,$4.99,78% (N/A),"87,110 ±8,761",01:59 (01:17)
669,Dungeons & Dragons Online�,6/25/2012,Free,78% (N/A),"358,579 ±17,765",30:52 (01:16)
49,EverQuest II,12/7/2011,Free,77% (83%),"312,489 ±16,585",33:35 (02:47)
172,Always Sometimes Monsters,5/21/2014,$2.49,77% (73%),"354,892 ±17,673",03:52 (01:54)
202,Starpoint Gemini 2,9/26/2014,$15.74,77% (70%),"136,426 ±10,962",13:56 (03:47)
204,Global Agenda,6/14/2011,Free,77% (70%),"391,303 ±18,556",63:54 (10:07)
210,Risen 2 - Dark Waters,4/26/2012,$9.99,77% (69%),"1,005,912 ±29,714",19:04 (04:21)
294,Agarest: Generations of War,2/4/2014,$3.74,77% (45%),"181,133 ±12,630",12:36 (02:52)
363,GRAV,1/8/2015,$13.99,77% (N/A),"86,419 ±8,726",09:51 (02:20)
389,StarMade,12/4/2014,$4.99,77% (N/A),"95,406 ±9,168",09:42 (01:42)
606,Strife�,5/22/2015,Free,77% (N/A),"659,546 ±24,078",05:17 (01:21)
662,SolForge,,Free,77% (N/A),"207,404 ±13,515",58:57 (02:44)
866,Amazing World,8/7/2014,Free,77% (N/A),"356,505 ±17,713",02:09 (00:26)
183,FORCED,10/24/2013,$2.24,76% (72%),"339,682 ±17,291",04:09 (02:03)
207,Dead State,12/4/2014,$14.99,76% (70%),"47,473 ±6,468",23:39 (04:31)
316,Grand Chase,7/17/2014,Free,76% (N/A),"421,722 ±19,263",08:01 (00:25)
395,Eldevin,11/5/2014,Free,76% (N/A),"227,684 ±14,159",06:05 (00:25)
460,The Elder Scrolls Online: Tamriel Unlimited,3/17/2015,$59.99,76% (N/A),"196,112 ±13,142",52:20 (17:27)
471,Paranautical Activity: Deluxe Atonement Edition,10/20/2014,$2.99,76% (N/A),"186,664 ±12,822",02:27 (01:01)
211,Forsaken World,6/14/2011,Free,75% (69%),"204,409 ±13,417",84:16 (02:47)
252,Dragon's Prophet (EU),9/18/2013,Free,75% (63%),"129,513 ±10,681",22:08 (02:02)
261,Legend of Dungeon,9/13/2013,$2.99,75% (62%),"213,857 ±13,723",03:02 (00:57)
920,Gauntlet™,9/23/2014,$9.99,75% (N/A),"360,653 ±17,816",06:58 (03:49)
77,Jade Empire: Special Edition,2/27/2007,$7.49,74% (81%),"190,582 ±12,955",08:33 (01:53)
152,Tropico 5,5/23/2014,$14.61,74% (75%),"375,402 ±18,176",20:04 (11:19)
240,Risen 3 - Titan Lords,8/12/2014,$14.99,74% (65%),"92,410 ±9,023",32:06 (23:52)
378,Mars: War Logs,4/26/2013,$7.49,74% (N/A),"143,340 ±11,237",06:35 (03:32)
773,Ascend: Hand of Kul,5/20/2014,Free,74% (N/A),"412,965 ±19,062",04:36 (01:20)
40,Galactic Civilizations III,5/14/2015,$44.99,73% (84%),"116,607 ±10,135",25:33 (09:01)
428,FINAL FANTASY XIII-2,12/11/2014,$13.99,73% (N/A),"162,467 ±11,962",15:24 (03:42)
717,FINAL FANTASY XIII,10/9/2014,$11.19,73% (N/A),"330,695 ±17,061",21:26 (08:30)
750,ARK: Survival Evolved,6/2/2015,$24.89,73% (N/A),"539,943 ±21,791",18:39 (07:02)
767,Shadowrun Chronicles,4/28/2015,$14.99,73% (N/A),"27,884 ±4,957",12:20 (04:20)
270,Firefall,7/29/2014,Free,72% (60%),"2,305,876 ±44,866",12:07 (01:25)
274,Game of Thrones,6/7/2012,$6.79,72% (58%),"429,558 ±19,441",06:42 (01:06)
290,Talisman: Digital Edition,2/25/2014,$4.49,72% (51%),"277,461 ±15,629",12:52 (03:12)
455,The Repopulation,12/22/2014,$14.99,72% (N/A),"36,872 ±5,700",13:47 (04:24)
559,Pixel Piracy,7/31/2014,$3.49,72% (N/A),"539,712 ±21,786",06:17 (02:30)
676,MapleStory,8/9/2012,Free,72% (N/A),"305,806 ±16,407",44:25 (01:56)
709,Interstellar Marines,7/2/2013,$9.49,71% (N/A),"220,771 ±13,943",02:42 (00:46)
254,The Mighty Quest For Epic Loot,2/25/2014,Free,70% (63%),"1,664,305 ±38,168",14:39 (03:21)
434,Kingdom Wars,4/1/2013,Free,70% (N/A),"306,498 ±16,426",11:18 (01:11)
701,Reign Of Kings,3/11/2015,$11.99,70% (N/A),"303,963 ±16,358",29:22 (12:55)
759,The Ship Single Player,11/20/2006,Free,70% (N/A),"948,299 ±28,854",01:43 (00:44)
890,Sacred 2 Gold,12/21/2012,$7.49,70% (N/A),"703,792 ±24,870",08:17 (00:55)
201,Might & Magic X - Legacy,1/23/2014,$14.99,69% (70%),"160,854 ±11,903",36:33 (12:56)
321,Fable Anniversary,9/12/2014,$8.74,69% (N/A),"148,179 ±11,425",12:41 (05:56)
558,Life is Feudal: Your Own,9/19/2014,$26.79,69% (N/A),"203,717 ±13,394",46:23 (08:48)
855,Marvel Puzzle Quest,12/5/2013,Free,69% (N/A),"215,701 ±13,782",77:11 (02:51)
