#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
25,Stronghold Kingdoms,2/27/2012,Free,70% (75%),"919,263 ±28,411",91:25 (01:15)
50,The Mighty Quest For Epic Loot,2/25/2014,Free,70% (63%),"1,664,305 ±38,168",14:39 (03:21)
74,APB Reloaded,12/6/2011,Free,70% (N/A),"2,616,522 ±47,762",34:00 (03:00)
89,Kingdom Wars,4/1/2013,Free,70% (N/A),"306,498 ±16,426",11:18 (01:11)
251,Marvel Puzzle Quest,12/5/2013,Free,69% (N/A),"215,701 ±13,782",77:11 (02:51)
52,Tactical Intervention,10/8/2013,Free,68% (47%),"1,700,255 ±38,575",03:09 (00:29)
120,GunZ 2: The Second Duel,5/1/2014,Free,68% (N/A),"2,146,866 ±43,306",09:40 (01:23)
133,NEOTOKYO°,7/4/2014,Free,68% (N/A),"815,791 ±26,770",01:05 (00:13)
189,Warface,7/1/2014,Free,68% (N/A),"3,065,438 ±51,648",09:31 (01:22)
237,Modular Combat,3/20/2015,Free,68% (N/A),"406,743 ±18,918",02:11 (00:27)
96,Frontline Tactics,10/26/2012,Free,67% (N/A),"271,700 ±15,466",05:15 (00:32)
101,Guns and Robots,8/4/2014,Free,67% (N/A),"748,730 ±25,649",02:25 (00:22)
54,Only If,7/25/2014,Free,66% (39%),"816,482 ±26,781",01:07 (00:22)
204,DARK BLOOD ONLINE,7/22/2014,Free,66% (N/A),"341,756 ±17,343",08:54 (00:36)
226,Royal Quest,8/6/2014,Free,66% (N/A),"498,001 ±20,929",10:41 (00:51)
48,Dragon's Prophet,9/23/2013,Free,65% (63%),"97,480 ±9,267",15:41 (02:59)
79,Sins of a Dark Age,5/8/2015,Free,65% (N/A),"256,029 ±15,014",03:11 (00:41)
139,CaesarIA,1/20/2015,Free,65% (N/A),"177,676 ±12,509",01:56 (00:14)
213,TOME: Immortal Arena,11/21/2014,Free,65% (N/A),"390,381 ±18,534",02:35 (00:42)
224,The Four Kings Casino and Slots,6/1/2015,Free,65% (N/A),"61,530 ±7,363",04:26 (00:34)
235,Velvet Sundown,7/22/2014,Free,65% (N/A),"399,138 ±18,741",01:13 (00:20)
236,Dogs of War Online - Beta,2/4/2014,Free,65% (N/A),"136,887 ±10,981",02:46 (00:33)
71,Running Shadow,2/20/2015,Free,64% (N/A),"263,865 ±15,242",01:22 (00:17)
118,Ragnarok Online 2,5/1/2013,Free,64% (N/A),"736,286 ±25,436",28:06 (01:34)
140,March of War,6/10/2014,Free,64% (N/A),"504,454 ±21,064",12:14 (00:51)
179,Battle Nations,9/18/2014,Free,64% (N/A),"344,291 ±17,408",09:33 (00:25)
216,Haunted Memories,10/4/2013,Free,64% (N/A),"604,699 ±23,058",00:40 (00:14)
44,Prime World,3/31/2014,Free,63% (65%),"355,814 ±17,696",36:44 (01:37)
153,Deadbreed�,7/1/2014,Free,63% (N/A),"309,494 ±16,506",02:29 (01:58)
209,Panzar,11/25/2013,Free,63% (N/A),"592,716 ±22,829",09:07 (01:45)
221,Zombies Monsters Robots,9/19/2014,Free,63% (N/A),"575,202 ±22,490",07:15 (01:06)
56,Gems of War,11/20/2014,Free,62% (N/A),"119,373 ±10,255",25:35 (02:42)
165,8BitMMO,1/26/2015,Free,62% (N/A),"617,835 ±23,306",01:29 (00:15)
187,City of Steam: Arkadia,3/6/2014,Free,62% (N/A),"229,297 ±14,209",10:45 (00:42)
249,Champions of Regnum,2/27/2013,Free,62% (N/A),"237,363 ±14,457",15:25 (00:48)
253,La Tale,6/17/2014,Free,62% (N/A),"485,787 ±20,672",04:02 (00:33)
13,ArcheAge,3/26/2015,Free,61% (80%),"475,878 ±20,460",38:03 (02:37)
143,A.V.A - Alliance of Valiant Arms,6/14/2011,Free,61% (N/A),"721,767 ±25,185",15:51 (01:16)
245,Counter-Strike Nexon: Zombies,10/7/2014,Free,61% (N/A),"3,487,390 ±55,039",09:08 (00:35)
30,War of the Roses,2/6/2013,Free,60% (73%),"1,064,446 ±30,563",12:01 (01:09)
34,Combat Arms,7/9/2012,Free,60% (71%),"337,608 ±17,238",16:19 (01:27)
35,Fallen Earth,2/22/2012,Free,59% (71%),"1,191,654 ±32,329",10:56 (00:53)
211,Rise of Incarnates,2/3/2015,Free,59% (N/A),"978,488 ±29,308",00:44 (00:15)
234,DiggerOnline,6/2/2015,Free,58% (N/A),"365,723 ±17,940",01:05 (00:23)
82,BLOCKADE 3D,12/19/2014,Free,57% (N/A),"1,830,459 ±40,014",05:53 (01:09)
122,Depression Quest,8/11/2014,Free,57% (N/A),"176,524 ±12,469",00:48 (00:17)
166,Copa Petrobras de Marcas,4/8/2015,Free,57% (N/A),"378,859 ±18,259",00:29 (00:10)
40,CrimeCraft GangWars,8/22/2011,Free,56% (68%),"408,356 ±18,956",09:47 (00:21)
47,RaiderZ,1/14/2014,Free,56% (64%),"401,212 ±18,789",05:41 (00:56)
142,Villagers and Heroes,4/17/2014,Free,56% (N/A),"376,785 ±18,209",04:20 (00:26)
108,Red Crucible: Firestorm,5/29/2015,Free,55% (N/A),"259,947 ±15,128",01:13 (00:16)
138,Football Superstars,11/16/2012,Free,55% (N/A),"288,523 ±15,937",05:31 (00:29)
61,The Forgotten Ones,7/17/2014,Free,54% (N/A),"303,502 ±16,345",01:19 (00:37)
175,RaceRoom Racing Experience,2/12/2013,Free,54% (N/A),"1,638,034 ±37,868",03:43 (00:26)
194,Batla,5/14/2015,Free,54% (N/A),"291,058 ±16,007",01:51 (00:33)
244,Survarium,4/2/2015,Free,53% (N/A),"1,393,066 ±34,940",02:24 (00:25)
57,King��s Bounty: Legions,12/10/2013,Free,52% (N/A),"147,257 ±11,389",34:48 (01:05)
176,Dizzel,12/10/2014,Free,52% (N/A),"1,192,345 ±32,338",01:41 (00:19)
161,Divine Souls,8/15/2014,Free,51% (N/A),"365,032 ±17,924",00:55 (00:13)
159,War Inc. Battlezone,7/18/2011,Free,50% (N/A),"688,583 ±24,601",05:00 (01:13)
77,sZone-Online,12/29/2014,Free,48% (N/A),"708,171 ±24,947",01:57 (00:23)
84,School of Dragons: How to Train Your Dragon,12/4/2014,Free,48% (N/A),"698,031 ±24,768",02:53 (00:41)
242,Navy Field 2 : Conqueror of the Ocean,3/5/2015,Free,48% (N/A),"378,167 ±18,243",03:45 (00:19)
149,Spartans Vs Zombies Defense,1/6/2015,Free,42% (N/A),"89,875 ±8,898",01:20 (00:26)
163,F.E.A.R. Online,10/21/2014,Free,40% (N/A),"919,263 ±28,411",03:14 (00:56)
60,METAL SLUG DEFENSE,5/1/2015,Free,39% (N/A),"234,597 ±14,373",01:07 (00:07)
188,Total War Battles: KINGDOM,4/9/2015,Free,39% (N/A),"256,260 ±15,021",06:18 (00:38)
192,theHunter,6/3/2014,Free,39% (N/A),"2,481,940 ±46,531",04:49 (00:38)
208,Brick-Force (EU),12/11/2014,Free,36% (N/A),"808,416 ±26,649",01:46 (00:20)
195,Magic Barrage - Bitferno,1/1/2015,Free,35% (N/A),"191,503 ±12,987",01:37 (00:11)
17,Rise of Flight: Channel Battles Edition,9/5/2013,Free,N/A (77%),"90,336 ±8,921",02:48 (00:25)
26,Age of Wushu,3/27/2014,Free,N/A (74%),"51,390 ±6,729",08:47 (00:01)
28,AirBuccaneers,,Free,N/A (74%),"130,665 ±10,729",02:24 (01:21)
55,ROSE Online,10/23/2012,Free,N/A (N/A),"243,124 ±14,631",19:03 (00:50)
58,Reckless Ruckus,3/20/2015,Free,N/A (N/A),"21,201 ±4,322",03:24 (00:08)
63,Gunscape,2/26/2015,Free,N/A (N/A),"189,890 ±12,932",00:38 (00:10)
68,Quintet,5/11/2015,Free,N/A (N/A),"67,983 ±7,739",01:08 (00:14)
73,DRAKERZ-Confrontation,5/19/2014,Free,N/A (N/A),"54,156 ±6,908",01:21 (00:27)
83,Age of Conan: Unchained - US version,2/22/2013,Free,N/A (N/A),"101,628 ±9,462",18:01 (02:37)
85,Lost Saga North America,11/25/2014,Free,N/A (N/A),"169,150 ±12,206",07:56 (00:17)
86,March of War: Face Off,4/9/2015,Free,N/A (N/A),"52,312 ±6,789",03:17 (00:30)
90,InMind VR,1/19/2015,Free,N/A (N/A),"79,966 ±8,394",00:09 (00:05)
91,Fork Parker's Holiday Profit Hike,12/18/2014,Free,N/A (N/A),"212,013 ±13,664",00:21 (00:10)
92,Conquest of Champions,4/23/2014,Free,N/A (N/A),"81,118 ±8,454",04:01 (00:21)
93,Pox Nora,10/15/2014,Free,N/A (N/A),"242,433 ±14,610",12:20 (00:20)
100,Deepworld,4/22/2015,Free,N/A (N/A),"107,389 ±9,727",01:18 (00:26)
102,Atlantica,6/29/2012,Free,N/A (N/A),"128,591 ±10,643",36:09 (04:53)
110,Jagged Alliance Online - Steam Edition,6/5/2013,Free,N/A (N/A),"79,966 ±8,394",09:25 (01:23)
111,Combat Monsters,1/20/2015,Free,N/A (N/A),"64,295 ±7,527",04:27 (00:41)
115,Shadow Hunter,4/20/2015,Free,N/A (N/A),"13,597 ±3,461",00:12 (00:12)
117,Warside,5/5/2015,Free,N/A (N/A),"85,958 ±8,702",02:01 (00:31)
119,Karos,12/24/2014,Free,N/A (N/A),"230,680 ±14,252",02:15 (00:01)
124,Wrath of Athena,5/29/2015,Free,N/A (N/A),"12,905 ±3,372",00:32 (00:09)
125,BattleSpace,1/7/2015,Free,N/A (N/A),"59,917 ±7,266",03:40 (00:01)
127,Walkover,3/23/2015,Free,N/A (N/A),"37,794 ±5,771",00:32 (00:05)
129,One Manga Day,5/4/2015,Free,N/A (N/A),"44,016 ±6,228",00:19 (00:07)
130,Darkwind: War on Wheels,8/22/2014,Free,N/A (N/A),"150,023 ±11,495",00:50 (00:06)
131,Rising Angels: Reborn,9/12/2014,Free,N/A (N/A),"105,776 ±9,653",00:55 (00:06)
132,Nightbanes,3/30/2015,Free,N/A (N/A),"75,126 ±8,136",06:31 (00:28)
134,Odyssey Reborn,3/30/2015,Free,N/A (N/A),"18,897 ±4,081",00:33 (00:06)
136,Bitweb,6/3/2015,Free,N/A (N/A),"3,687 ±1,802",00:01 (00:01)
141,Rustbucket Rumble,5/4/2015,Free,N/A (N/A),"130,434 ±10,719",00:34 (00:10)
144,Alganon,5/19/2015,Free,N/A (N/A),"27,193 ±4,895",00:48 (00:15)
154,Moon Breakers,5/17/2012,Free,N/A (N/A),"179,520 ±12,574",03:10 (00:22)
155,The Knobbly Crook: Chapter I - The Horse You Sailed In On,6/9/2015,Free,N/A (N/A),"3,918 ±1,858",00:40 (01:04)
156,Battlegrounds of Eldhelm,10/22/2014,Free,N/A (N/A),"67,522 ±7,713",02:18 (00:21)
160,Mainland,5/8/2015,Free,N/A (N/A),"32,724 ±5,370",00:24 (00:09)
168,War of the Immortals,8/30/2012,Free,N/A (N/A),"245,889 ±14,714",44:57 (01:03)
169,Victory Command,5/19/2015,Free,N/A (N/A),"134,352 ±10,879",01:31 (00:16)
170,Fiesta Online NA,5/20/2014,Free,N/A (N/A),"194,730 ±13,096",06:26 (01:04)
171,Dungeon Party,3/13/2013,Free,N/A (N/A),"174,220 ±12,387",00:24 (00:13)
172,Kingdoms CCG,1/22/2015,Free,N/A (N/A),"33,876 ±5,464",03:09 (00:16)
174,Cannons Lasers Rockets,8/25/2014,Free,N/A (N/A),"154,401 ±11,662",00:21 (00:08)
178,HIS (Heroes In the Sky),3/3/2015,Free,N/A (N/A),"165,693 ±12,080",01:05 (00:11)
181,Epic Arena,5/5/2015,Free,N/A (N/A),"75,818 ±8,173",02:26 (00:49)
182,Requiem,3/4/2015,Free,N/A (N/A),"141,957 ±11,182",01:30 (00:23)
190,Uncharted Waters Online: Gran Atlas,10/3/2014,Free,N/A (N/A),"162,236 ±11,954",09:19 (00:27)
191,CroNix,2/12/2015,Free,N/A (N/A),"117,760 ±10,185",00:34 (00:12)
197,Demise of Nations: Rome,4/21/2015,Free,N/A (N/A),"26,732 ±4,853",03:24 (00:10)
201,Universal Combat CE,2/6/2015,Free,N/A (N/A),"62,452 ±7,418",00:30 (00:10)
203,TDP5 Arena 3D,3/26/2015,Free,N/A (N/A),"79,505 ±8,369",00:42 (00:16)
205,Games of Glory,5/26/2015,Free,N/A (N/A),"53,695 ±6,878",00:43 (00:16)
212,Escape,4/20/2015,Free,N/A (N/A),"66,369 ±7,647",00:14 (00:06)
218,Xam,7/15/2014,Free,N/A (N/A),"204,409 ±13,417",00:29 (00:14)
219,EverQuest Free-to-Play,12/13/2012,Free,N/A (N/A),"212,705 ±13,686",26:52 (01:51)
220,Run and Fire,5/27/2015,Free,N/A (N/A),"120,064 ±10,284",00:26 (00:02)
222,HIT,2/9/2015,Free,N/A (N/A),"156,706 ±11,748",00:15 (00:06)
223,16 Bit Arena,3/24/2015,Free,N/A (N/A),"43,785 ±6,211",00:01 (00:01)
239,The Gate,4/27/2015,Free,N/A (N/A),"41,711 ±6,063",11:36 (01:25)
240,Famaze,5/5/2014,Free,N/A (N/A),"94,945 ±9,146",00:24 (00:09)
248,BloodRealm: Battlegrounds,2/12/2015,Free,N/A (N/A),"129,973 ±10,700",02:08 (00:15)
250,Tales Runner,2/17/2015,Free,N/A (N/A),"149,101 ±11,460",02:10 (00:25)
252,Invisible Apartment,3/2/2015,Free,N/A (N/A),"83,653 ±8,585",00:15 (00:04)
254,Regimental Chess,4/29/2015,Free,N/A (N/A),"20,510 ±4,251",00:45 (00:06)
256,TDP4:Team Battle,3/12/2015,Free,N/A (N/A),"104,854 ±9,611",01:37 (00:13)
258,Red Stone Online,4/1/2015,Free,N/A (N/A),"48,855 ±6,561",01:02 (00:14)
