#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
157,Sanctum 2,5/15/2013,$5.09,91% (77%),"1,397,675 ±34,997",07:01 (02:40)
159,Men of War: Assault Squad,2/24/2011,$2.49,91% (77%),"293,132 ±16,064",51:48 (14:29)
193,Victoria II,8/30/2010,$4.99,91% (75%),"291,979 ±16,032",47:53 (06:15)
621,Banished,2/18/2014,$7.99,91% (N/A),"1,077,351 ±30,747",25:12 (11:05)
971,Unholy Heights,10/4/2013,$1.99,91% (N/A),"130,434 ±10,719",04:13 (02:11)
1027,Pool Nation,10/18/2013,$0.99,91% (N/A),"205,330 ±13,447",04:39 (02:22)
1075,AirMech,11/8/2012,Free,91% (N/A),"749,421 ±25,661",10:33 (02:05)
31,"Warhammer 40,000: Dawn of War II",2/18/2009,$6.79,90% (85%),"2,258,865 ±44,411",29:57 (11:59)
70,Desktop Dungeons,11/7/2013,$14.99,90% (82%),"75,818 ±8,173",18:16 (05:41)
95,The Banner Saga,1/14/2014,$9.99,90% (80%),"389,920 ±18,524",08:47 (04:41)
134,NightSky,3/1/2011,$1.99,90% (78%),"555,613 ±22,104",01:09 (00:24)
139,Baldur's Gate: Enhanced Edition,1/16/2013,$9.99,90% (78%),"443,154 ±19,745",21:07 (03:36)
155,Magic: The Gathering Duels of the Planeswalkers 2012,6/15/2011,$19.99,90% (77%),"344,983 ±17,425",41:31 (15:51)
180,Shadowrun Returns,7/25/2013,$2.99,90% (76%),"810,260 ±26,679",15:27 (07:05)
188,Atom Zombie Smasher,3/14/2011,$4.99,90% (75%),"397,756 ±18,708",03:51 (01:22)
205,Arma 3,9/12/2013,$38.99,90% (74%),"1,790,822 ±39,582",116:34 (31:31)
224,RUSH,12/3/2010,$0.24,90% (73%),"307,880 ±16,463",02:27 (00:59)
231,CastleStorm,7/29/2013,$4.99,90% (73%),"149,331 ±11,469",06:41 (02:42)
263,Toy Soldiers,4/27/2012,$3.39,90% (71%),"209,478 ±13,582",05:21 (02:30)
495,My Lands,9/16/2014,Free,90% (N/A),"206,252 ±13,477",20:48 (00:18)
636,Super Sanctum TD,5/9/2013,$1.35,90% (N/A),"197,265 ±13,180",03:27 (01:11)
725,Darkest Dungeon,2/3/2015,$17.99,90% (N/A),"376,785 ±18,209",14:21 (08:09)
1138,Dominions 4,12/5/2013,$20.99,90% (N/A),"34,337 ±5,501",51:42 (08:02)
8,Sid Meier's Civilization III: Complete,10/25/2006,$1.24,89% (90%),"836,531 ±27,107",32:27 (02:11)
41,DEFCON,9/29/2006,$1.49,89% (84%),"626,822 ±23,474",02:27 (00:37)
43,L.A. Noire,11/8/2011,$5.99,89% (83%),"1,189,119 ±32,295",13:20 (05:30)
53,Europa Universalis III,2/4/2009,$3.74,89% (83%),"438,776 ±19,648",48:49 (01:58)
103,Anomaly Warzone Earth,4/8/2011,$3.99,89% (80%),"746,426 ±25,610",02:23 (01:14)
106,Men of War,5/6/2009,$0.99,89% (80%),"289,444 ±15,963",21:44 (03:11)
147,Magic: The Gathering - Duels of the Planeswalkers 2013,6/20/2012,$9.99,89% (77%),"399,599 ±18,752",42:16 (14:55)
213,The Bridge,2/22/2013,$1.69,89% (74%),"371,945 ±18,092",02:00 (01:24)
234,Space Run,6/13/2014,$3.74,89% (73%),"108,311 ±9,768",08:04 (03:57)
1071,From The Depths,8/7/2014,$7.99,89% (N/A),"32,954 ±5,389",16:18 (03:46)
26,Supreme Commander,9/28/2011,$7.49,88% (86%),"733,059 ±25,380",08:11 (01:08)
77,RollerCoaster Tycoon 3: Platinum!,3/12/2008,$4.99,88% (81%),"543,400 ±21,860",13:12 (03:00)
113,Worms Reloaded,8/26/2010,$4.99,88% (79%),"718,080 ±25,120",11:32 (03:23)
121,Revenge of the Titans,3/16/2011,$6.99,88% (79%),"468,504 ±20,301",03:04 (01:16)
141,Wargame: Red Dragon,4/17/2014,$19.99,88% (78%),"326,777 ±16,960",45:19 (06:40)
256,Verdun,4/28/2015,$17.24,88% (72%),"243,585 ±14,645",09:21 (03:48)
470,Toribash,5/16/2014,Free,88% (N/A),"1,517,740 ±36,460",04:50 (00:48)
739,Organ Trail: Director's Cut,3/19/2013,$2.99,88% (N/A),"371,023 ±18,070",04:14 (02:31)
928,Chip,4/25/2014,$0.69,88% (N/A),"162,236 ±11,954",02:34 (02:17)
104,AI War: Fleet Command,10/21/2009,$2.49,87% (80%),"253,264 ±14,933",09:38 (01:15)
116,Tropico 3 - Steam Special Edition,10/20/2009,$2.49,87% (79%),"1,337,528 ±34,240",07:37 (01:02)
119,Sang-Froid - Tales of Werewolves,4/5/2013,$2.99,87% (79%),"242,202 ±14,603",03:17 (01:12)
154,Supreme Commander 2,3/1/2010,$6.49,87% (77%),"1,079,886 ±30,783",38:29 (11:49)
204,RollerCoaster Tycoon 2: Triple Thrill Pack,5/21/2014,$2.49,87% (74%),"106,929 ±9,706",08:56 (02:40)
243,Worms Revolution,10/10/2012,$3.74,87% (73%),"721,998 ±25,189",08:21 (03:16)
312,Sword of the Stars: The Pit,,$2.59,87% (68%),"214,779 ±13,753",08:15 (02:22)
340,Worms Ultimate Mayhem,9/28/2011,$3.74,87% (66%),"500,306 ±20,978",04:39 (01:05)
400,Prime World: Defenders,6/5/2013,$2.99,87% (58%),"98,171 ±9,300",16:45 (07:33)
808,Breach & Clear,3/21/2014,$4.49,87% (N/A),"137,578 ±11,009",05:58 (01:57)
855,Yet Another Zombie Defense,3/28/2014,$0.49,87% (N/A),"288,062 ±15,925",01:47 (00:47)
985,Blood Bowl: Chaos Edition,10/11/2012,$14.99,87% (N/A),"182,977 ±12,694",47:05 (11:21)
15,Homeworld Remastered Collection,2/25/2015,$19.24,86% (89%),"296,358 ±16,152",13:43 (06:00)
68,Endless Legend,9/18/2014,$23.44,86% (82%),"436,932 ±19,607",21:54 (09:37)
97,Natural Selection 2,10/30/2012,$6.99,86% (80%),"1,576,504 ±37,155",15:56 (02:38)
130,Baldur's Gate II: Enhanced Edition,11/15/2013,$9.99,86% (78%),"251,881 ±14,892",34:50 (04:24)
161,Endless Space,7/4/2012,$10.19,86% (77%),"751,956 ±25,704",30:42 (10:16)
269,Nuclear Dawn,9/26/2011,$2.49,86% (71%),"367,797 ±17,991",06:02 (01:53)
272,Warlock - Master of the Arcane,5/8/2012,$6.24,86% (71%),"789,520 ±26,337",20:35 (02:18)
583,Dwarfs F2P,10/18/2012,Free,86% (N/A),"361,345 ±17,833",01:53 (00:47)
629,Medieval Engineers,2/19/2015,$14.99,86% (N/A),"162,236 ±11,954",06:47 (02:06)
679,Galcon 2,12/5/2014,Free,86% (N/A),"155,092 ±11,688",02:22 (00:22)
1114,The Basement Collection,8/31/2012,$3.99,86% (N/A),"373,789 ±18,137",02:51 (00:58)
82,Wasteland 2,9/18/2014,$19.99,85% (81%),"430,019 ±19,451",34:47 (14:15)
152,Expeditions: Conquistador,5/30/2013,$9.99,85% (77%),"115,455 ±10,085",09:51 (02:23)
167,Quantum Conundrum,6/21/2012,$2.24,85% (77%),"213,627 ±13,716",04:49 (02:50)
237,X3: Terran Conflict,10/16/2008,$4.99,85% (73%),"485,787 ±20,672",42:17 (02:22)
293,Magicka: Wizard Wars,4/28/2015,Free,85% (69%),"2,544,161 ±47,104",03:30 (00:54)
319,Scribblenauts Unmasked,9/24/2013,$9.99,85% (68%),"134,352 ±10,879",06:36 (02:54)
37,Might & Magic: Duel of Champions,11/7/2013,Free,84% (84%),"473,804 ±20,415",25:28 (02:47)
57,Command and Conquer: Red Alert 3,1/8/2009,$9.99,84% (82%),"529,112 ±21,572",15:41 (05:13)
160,Hearts of Iron III,8/7/2009,$2.49,84% (77%),"360,192 ±17,804",48:55 (04:42)
329,Primal Carnage,10/29/2012,$1.59,84% (67%),"306,498 ±16,426",11:38 (01:41)
612,Infinity Wars - Animated Trading Card Game,9/5/2014,Free,84% (N/A),"436,010 ±19,586",11:18 (01:18)
647,The Red Solstice,7/10/2014,$17.99,84% (N/A),"43,555 ±6,195",07:54 (01:45)
887,Kenshi,,$19.99,84% (N/A),"111,307 ±9,902",17:29 (05:09)
170,Arma 2,6/29/2009,$4.41,83% (77%),"1,145,794 ±31,704",05:53 (00:34)
187,Mind: Path to Thalamus,8/5/2014,$5.84,83% (75%),"69,135 ±7,805",03:21 (01:34)
200,Reus,5/16/2013,$4.99,83% (75%),"767,166 ±25,962",04:44 (01:47)
414,The Guild II: Renaissance,7/28/2010,$1.99,83% (56%),"222,384 ±13,994",16:33 (05:41)
885,Knights and Merchants,10/14/2013,$6.99,83% (N/A),"583,959 ±22,660",02:46 (00:54)
981,Magic 2014,6/26/2013,$2.49,83% (N/A),"586,955 ±22,718",32:53 (12:08)
1160,Dungeon Defenders II,12/5/2014,$18.74,83% (N/A),"169,841 ±12,231",16:25 (05:36)
60,Monday Night Combat,1/24/2011,$4.99,82% (82%),"274,465 ±15,545",10:38 (03:20)
83,Wargame: European Escalation,2/22/2012,$1.99,82% (81%),"642,032 ±23,757",18:51 (03:22)
87,Defense Grid 2,9/23/2014,$4.49,82% (81%),"76,048 ±8,186",13:26 (05:36)
343,Age of Mythology: Extended Edition,5/8/2014,$7.49,82% (66%),"473,573 ±20,411",16:09 (05:02)
488,Solstice Arena,10/15/2013,Free,82% (N/A),"182,285 ±12,670",10:12 (02:10)
715,Mordheim: City of the Damned,11/20/2014,$25.59,82% (N/A),"50,238 ±6,653",07:47 (01:39)
32,Frozen Synapse,5/26/2011,$6.24,81% (85%),"639,267 ±23,706",04:09 (01:22)
78,Ghost Master,12/21/2006,$0.74,81% (81%),"128,821 ±10,653",03:01 (00:40)
99,Age of Wonders III,3/31/2014,$19.99,81% (80%),"356,505 ±17,713",34:47 (10:40)
184,WAKFU,9/18/2014,Free,81% (76%),"683,974 ±24,518",17:38 (01:43)
618,Puzzle Pirates,8/31/2011,Free,81% (N/A),"202,795 ±13,364",28:46 (01:16)
109,Elite: Dangerous,4/2/2015,$53.99,80% (80%),"153,479 ±11,627",46:03 (17:58)
