#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
4,RIP - Early Access,10/31/2014,$1.49,N/A (N/A),"11,522 ±3,186",00:59 (00:30)
5,FaeVerse Alchemy,4/2/2014,$7.49,N/A (N/A),"6,453 ±2,384",04:41 (05:47)
7,Crystal Rift,4/20/2015,$15.99,N/A (N/A),668 ±924,00:13 (00:06)
8,Salt,10/15/2014,$9.89,N/A (N/A),"26,963 ±4,874",06:50 (02:11)
9,Knight Squad,5/28/2014,$9.99,N/A (N/A),"3,457 ±1,745",03:25 (05:22)
10,Theme Park Studio,2/27/2014,$19.79,N/A (N/A),"15,671 ±3,716",21:08 (02:14)
12,The Mims Beginning,1/14/2015,$15.99,N/A (N/A),"3,226 ±1,686",01:29 (02:12)
14,Infectonator : Survivors,4/14/2014,$8.99,N/A (N/A),"10,831 ±3,089",04:30 (02:06)
15,Rodina,7/28/2014,$14.99,N/A (N/A),"11,292 ±3,154",07:19 (02:15)
18,Soccer Rage,6/2/2015,$9.74,N/A (N/A),668 ±924,00:14 (00:07)
20,TOTM,2/3/2015,$7.99,N/A (N/A),"3,339 ±2,066",00:13 (00:13)
21,LogicBots,9/22/2014,$14.99,N/A (N/A),"2,672 ±1,848",02:32 (03:03)
22,Recruits,7/31/2014,$9.99,N/A (N/A),"5,531 ±2,207",00:27 (00:36)
23,Storm United,4/17/2015,$9.99,N/A (N/A),"20,510 ±4,251",00:26 (00:19)
24,Adventurezator: When Pigs Fly,7/23/2014,$9.74,N/A (N/A),"13,827 ±3,491",02:53 (01:31)
27,Gunscape,2/26/2015,Free,N/A (N/A),"189,890 ±12,932",00:38 (00:10)
28,Voice Of Pripyat,11/19/2014,$6.99,N/A (N/A),"7,374 ±2,549",28:48 (03:25)
29,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),,$9.99,N/A (N/A),"101,859 ±9,473",02:00 (00:29)
30,Gynophobia,5/29/2015,$3.39,N/A (N/A),668 ±924,00:00 (00:00)
31,Terra Incognita ~ Chapter One: The Descendant,2/3/2015,$1.99,N/A (N/A),"14,518 ±3,577",01:14 (00:58)
32,Chaos Reborn,12/9/2014,$19.99,N/A (N/A),"11,292 ±3,154",09:31 (00:51)
33,Super Chibi Knight,12/1/2014,$8.99,N/A (N/A),"1,152 ±1,007",06:59 (06:59)
34,You Are Not The Hero,6/2/2015,$14.99,N/A (N/A),"1,131 ±1,566",00:56 (00:56)
36,Reflex,11/4/2014,$4.99,N/A (N/A),"13,366 ±3,432",05:17 (01:37)
37,Project Nimbus,11/5/2014,$11.24,N/A (N/A),"8,757 ±2,778",01:11 (00:36)
38,Whitewash,4/30/2015,$14.99,N/A (N/A),"2,074 ±1,352",00:00 (00:00)
39,Ratz Instagib 2.0,1/21/2015,$4.49,N/A (N/A),"12,444 ±3,311",03:40 (02:03)
40,Altitude0: Lower & Faster,9/1/2014,$13.29,N/A (N/A),"2,004 ±1,600",00:13 (00:12)
41,The Curious Expedition,5/19/2015,$14.99,N/A (N/A),"9,448 ±2,885",05:56 (04:00)
42,Corona MotorSport,3/13/2015,$5.49,N/A (N/A),"2,996 ±1,625",00:23 (00:07)
43,CubeZ,12/1/2014,$7.99,N/A (N/A),"10,140 ±2,989",00:09 (00:13)
44,TUG,3/28/2014,$19.99,N/A (N/A),"52,082 ±6,774",03:01 (00:45)
45,Nom Nom Galaxy,3/13/2014,$4.99,N/A (N/A),"25,580 ±4,748",02:34 (01:07)
47,Gravi,10/8/2013,$4.99,N/A (N/A),"29,498 ±5,098",01:59 (01:16)
48,Out of Reach,6/8/2015,$16.99,N/A (N/A),922 ±901,06:18 (08:12)
49,We Slay Monsters,11/17/2014,$2.49,N/A (N/A),"1,844 ±1,274",06:45 (10:52)
50,Infinifactory,1/19/2015,$22.49,N/A (N/A),"11,753 ±3,218",11:28 (07:25)
51,Secret Ponchos,6/1/2014,$8.99,N/A (N/A),"18,436 ±4,031",01:31 (00:40)
52,FACTIONS: Origins of Malu,3/23/2015,$19.99,N/A (N/A),"566 ±1,107",00:09 (00:09)
54,Arcane Worlds,1/28/2014,$9.99,N/A (N/A),"24,889 ±4,683",00:52 (00:39)
56,Shark Attack Deathmatch 2,5/28/2015,$7.99,N/A (N/A),"566 ±1,107",00:11 (00:11)
57,Immune,3/25/2015,$11.89,N/A (N/A),"1,152 ±1,007",02:36 (03:24)
58,Cosmonautica,9/17/2014,$9.99,N/A (N/A),"11,062 ±3,122",03:58 (02:55)
59,Unclaimed World,3/26/2014,$11.19,N/A (N/A),"5,300 ±2,161",04:21 (01:40)
60,Stonehearth,6/3/2015,$24.99,N/A (N/A),"43,094 ±6,162",10:07 (03:45)
61,Vector Thrust,8/21/2014,$13.39,N/A (N/A),"5,992 ±2,298",02:06 (01:19)
62,Subterrain,4/30/2015,$9.89,N/A (N/A),691 ±780,00:43 (00:43)
63,Tiny Trek,1/20/2015,$2.49,N/A (N/A),"5,009 ±2,531",00:02 (00:01)
64,Collateral,11/24/2014,$24.99,N/A (N/A),"3,226 ±1,686",00:15 (00:15)
68,Calibre 10 Racing Series,3/26/2014,$19.99,N/A (N/A),"9,679 ±2,920",01:58 (00:27)
69,Train Valley,5/7/2015,$9.99,N/A (N/A),668 ±924,02:06 (02:06)
70,Zotrix,2/18/2015,$8.49,N/A (N/A),"2,765 ±1,561",02:11 (02:09)
71,Dovetail Games Fishing,11/4/2014,$19.99,N/A (N/A),"14,057 ±3,519",01:20 (00:54)
72,Soul Axiom,11/17/2014,$13.99,N/A (N/A),668 ±924,07:35 (03:47)
74,Cash_Out,5/27/2015,$3.74,N/A (N/A),"566 ±1,107",00:13 (00:13)
75,QuestEvent,3/24/2015,$3.74,N/A (N/A),"3,457 ±1,745",02:13 (00:44)
77,Clandestine,10/1/2014,$29.99,N/A (N/A),"1,336 ±1,307",03:00 (03:00)
79,Friendship Club,3/24/2015,$10.79,N/A (N/A),"2,765 ±1,561",00:03 (00:02)
80,Dwarven Brawl Bros,5/1/2015,$4.01,N/A (N/A),"1,002 ±1,131",00:03 (00:02)
81,Onikira: Demon Killer,11/14/2014,$2.99,N/A (N/A),"27,654 ±4,936",01:05 (00:53)
82,Infinite Space III: Sea of Stars,4/18/2014,$4.99,N/A (N/A),"21,432 ±4,346",01:37 (00:38)
83,Battle Chess: Game of Kings™,3/17/2014,$9.99,N/A (N/A),"6,345 ±2,848",05:17 (02:43)
84,Courier of the Crypts,5/21/2015,$10.79,N/A (N/A),"566 ±1,107",00:36 (00:36)
85,INIT.,2/16/2015,$2.99,N/A (N/A),691 ±780,02:14 (01:29)
86,Warside,5/5/2015,Free,N/A (N/A),"85,958 ±8,702",02:01 (00:31)
87,Purgatory: War of the Damned,2/11/2015,$11.24,N/A (N/A),"1,152 ±1,007",00:00 (00:00)
90,Tile Miner,10/24/2014,$4.99,N/A (N/A),"1,336 ±1,307",02:13 (03:16)
91,Overruled!,8/12/2014,$6.49,N/A (N/A),"35,950 ±5,628",01:58 (01:47)
92,Eden Star :: Destroy - Build - Protect,1/30/2015,$19.99,N/A (N/A),"9,218 ±2,850",02:47 (01:51)
93,The Cosmos Is MINE!,4/24/2015,$5.99,N/A (N/A),"3,687 ±1,802",00:09 (00:03)
94,The Falling Sun,4/7/2015,$2.49,N/A (N/A),"8,066 ±2,666",00:50 (00:38)
96,Conquest of Champions,4/23/2014,Free,N/A (N/A),"81,118 ±8,454",04:01 (00:21)
97,Boss Monster,5/8/2015,$6.99,N/A (N/A),"2,765 ±1,561",01:32 (01:54)
98,Voxelized,3/19/2015,$0.39,N/A (N/A),"8,527 ±2,741",02:02 (01:13)
99,Spectre,11/3/2014,$11.99,N/A (N/A),"1,152 ±1,007",00:05 (00:05)
100,Crea,6/3/2014,$14.99,N/A (N/A),"9,909 ±2,955",09:13 (05:58)
102,Avenging Angel,6/1/2015,$10.04,N/A (N/A),668 ±924,01:32 (00:46)
103,Kingdom Wars 2: Battles,3/30/2015,$21.24,N/A (N/A),"8,066 ±2,666",08:15 (02:19)
104,Homebrew - Vehicle Sandbox,11/14/2014,$8.99,N/A (N/A),"25,349 ±4,726",06:18 (01:25)
105,Steam Squad,5/15/2014,$13.49,N/A (N/A),"1,152 ±1,007",00:27 (00:36)
106,Underrail,9/23/2013,$9.99,N/A (N/A),"22,123 ±4,415",16:48 (03:15)
