#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
558,StarMade,12/4/2014,$4.99,77% (N/A),"95,406 ±9,168",09:42 (01:42)
591,Receiver,4/29/2013,$1.99,77% (N/A),"660,468 ±24,095",01:20 (00:16)
325,Galaxy on Fire 2™ Full HD,8/21/2012,$9.99,76% (N/A),"258,334 ±15,081",06:55 (01:21)
669,Survival: Postapocalypse Now,4/16/2015,$4.49,76% (N/A),"58,073 ±7,153",07:33 (02:10)
754,Influent,3/20/2014,$4.99,76% (N/A),"99,554 ±9,365",01:34 (00:25)
42,Football Manager 2015,11/1/2014,$16.99,74% (80%),"7,974,470 ±82,438",236:34 (111:15)
70,Tropico 5,5/23/2014,$14.61,74% (75%),"375,402 ±18,176",20:04 (11:19)
190,Pinball Arcade,11/4/2013,Free,74% (N/A),"406,052 ±18,902",05:01 (00:18)
563,OMSI 2,12/11/2013,$17.49,74% (N/A),"64,756 ±7,554",80:27 (20:50)
20,Galactic Civilizations III,5/14/2015,$44.99,73% (84%),"116,607 ±10,135",25:33 (09:01)
621,Sparkle 2 Evo,10/24/2013,$0.74,73% (N/A),"117,760 ±10,185",01:32 (00:51)
259,Pixel Piracy,7/31/2014,$3.49,72% (N/A),"539,712 ±21,786",06:17 (02:30)
358,Among Ripples,1/22/2015,Free,72% (N/A),"295,667 ±16,133",00:14 (00:06)
110,WWE 2K15,4/28/2015,$33.49,71% (70%),"23,275 ±4,529",24:27 (15:28)
191,Enforcer: Police Crime Action,10/24/2014,$6.79,71% (N/A),"26,963 ±4,874",06:28 (03:56)
672,Interstellar Marines,7/2/2013,$9.49,71% (N/A),"220,771 ±13,943",02:42 (00:46)
254,Kingdom Wars,4/1/2013,Free,70% (N/A),"306,498 ±16,426",11:18 (01:11)
570,Arma: Cold War Assault,8/8/2011,$1.19,70% (N/A),"1,165,843 ±31,978",01:39 (00:14)
613,Reign Of Kings,3/11/2015,$11.99,70% (N/A),"303,963 ±16,358",29:22 (12:55)
83,Train Simulator 2015,9/18/2014,$14.99,69% (73%),"716,237 ±25,088",56:58 (07:56)
690,Life is Feudal: Your Own,9/19/2014,$26.79,69% (N/A),"203,717 ±13,394",46:23 (08:48)
750,theHunter: Primal,3/31/2015,$13.49,69% (N/A),"71,900 ±7,959",21:39 (03:50)
651,Construction-Simulator 2015,11/18/2014,$17.99,67% (N/A),"116,607 ±10,135",17:48 (08:50)
67,From Dust,8/17/2011,$8.99,66% (76%),"421,031 ±19,247",05:19 (02:14)
149,Jagged Alliance - Back in Action,2/8/2012,$7.49,66% (62%),"240,359 ±14,548",45:55 (10:40)
122,Train Fever,9/4/2014,$11.89,65% (67%),"82,731 ±8,538",40:26 (16:17)
135,Stronghold Crusader 2,9/22/2014,$16.99,65% (65%),"166,615 ±12,114",18:42 (06:26)
600,Miscreated,10/30/2014,$9.49,65% (N/A),"54,386 ±6,922",03:21 (01:52)
623,Folk Tale,5/30/2013,$16.74,65% (N/A),"80,196 ±8,406",04:53 (02:02)
701,FortressCraft Evolved,12/10/2013,$2.24,65% (N/A),"53,695 ±6,878",04:46 (00:50)
101,The Golf Club,8/19/2014,$20.09,64% (70%),"25,349 ±4,726",24:15 (03:32)
550,The Four Kings Casino and Slots,6/1/2015,Free,64% (N/A),"61,530 ±7,363",04:26 (00:34)
722,Cities XL Platinum,2/6/2013,$9.99,63% (N/A),"457,672 ±20,066",08:52 (01:53)
407,Omerta - City of Gangsters,1/31/2013,$4.99,62% (N/A),"255,799 ±15,007",13:30 (05:16)
62,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,1/24/2013,$6.79,61% (77%),"170,072 ±12,239",07:02 (02:11)
