,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
183,The Guild II: Renaissance,1786,199,83,222384,1633
184,Knights and Merchants,612,699,83,583959,246
185,Magic 2014,722,249,83,586955,3253
186,Dungeon Defenders II,195,1874,83,169841,1625
187,Monday Night Combat,1606,499,82,274465,1038
188,Wargame: European Escalation,1212,199,82,642032,1851
189,Defense Grid 2,268,449,82,76048,1326
190,Age of Mythology: Extended Edition,406,749,82,473573,1609
191,Solstice Arena,611,0,82,182285,1012
192,Mordheim: City of the Damned,210,2559,82,50238,747
193,Frozen Synapse,1484,624,81,639267,409
194,Ghost Master,3101,74,81,128821,301
195,Age of Wonders III,444,1999,81,356505,3447
196,WAKFU,273,0,81,683974,1738
197,Puzzle Pirates,1387,0,81,202795,2846
198,Elite: Dangerous,77,5399,80,153479,4603
199,HOARD,1536,299,80,363188,204
200,Company of Heroes 2,723,1999,79,1384540,5958
201,Worms Clan Wars,672,624,79,203717,723
202,Battle Islands,316,0,79,377937,933
203,Dwarfs!?,1506,499,79,335304,312
204,Divinity: Dragon Commander,681,999,79,172837,813
205,Democracy 3,612,624,78,390381,633
206,Men of War: Assault Squad 2,399,749,78,212474,3623
207,The Banner Saga: Factions,843,0,78,268474,440
208,Cortex Command,993,499,78,146335,759
209,SimCity 4 Deluxe,1794,999,78,967196,1618
210,Fallen Enchantress: Legendary Heroes,757,999,77,156936,3952
211,Agarest: Generations of War,499,374,77,181133,1236
212,StarMade,196,499,77,95406,942
213,SolForge,999999,0,77,207404,5857
214,Strife�,27,0,77,659546,517
215,Galactic Civilizations� II: Ultimate Edition,1294,999,76,564371,1428
216,Total War: ROME II - Emperor Edition,654,2997,76,1956976,11429
217,Block N Load Beta,49,509,76,39176,2513
218,Blood Bowl: Legendary Edition,1694,999,76,476108,1749
219,Dead State,196,1499,76,47473,2339
220,Influent,455,499,76,99554,134
221,The Culling Of The Cows,405,194,76,356275,129
222,Galaxy on Fire 2™ Full HD,1031,999,76,258334,655
223,Infinite Crisis™,84,0,75,789520,513
224,Grey Goo,146,2999,74,89875,1004
225,Tropico 5,391,1461,74,375402,2004
226,War for the Overworld,77,2399,74,104394,800
227,Tower Wars,1038,159,74,377937,617
228,Fractured Space,210,499,74,786985,201
229,FreeStyle2: Street Basketball,78,0,74,1680437,954
230,Galactic Civilizations III,35,4499,73,116607,2533
231,Battlestations: Pacific,2227,224,73,192656,1154
232,Space Hulk,672,499,73,200030,456
233,ACE - Arena: Cyber Evolution,304,0,73,330004,37
234,Shadowrun Chronicles,51,1499,73,27884,1220
235,Super Monday Night Combat,1155,0,72,838605,1138
236,Talisman: Digital Edition,478,449,72,277461,1252
237,Command and Conquer: Red Alert 3 - Uprising,2081,999,71,1015129,824
238,Total War: ATTILA,121,3374,70,323090,5819
239,Hero Academy,1042,249,70,217775,2558
240,Stronghold Kingdoms,1207,0,70,919263,9125
241,StarDrive 2,70,2099,70,35720,2302
242,The Mighty Quest For Epic Loot,478,0,70,1664305,1439
